car_id,price,car_type_id,transmission_type_id,fuel_type_id
2,11000,782406,178,372
3,16800,370344,554,735
7,11750,795061,178,735
8,10200,457003,178,372
13,16400,214962,178,372
20,17300,328266,554,735
21,20200,632243,554,735
27,15800,799585,178,372
28,17200,786840,554,735
29,14000,770479,178,735
30,9500,777902,554,735
32,15000,614810,554,735
38,16000,370344,178,735
39,17100,214962,178,735
43,13200,701025,554,735
44,15200,576133,554,372
48,20200,328266,554,372
49,23700,103392,554,372
53,15000,576133,178,735
58,10200,796713,178,735
62,16000,214962,178,735
64,14000,470632,178,372
69,10800,782406,178,372
73,8300,796713,178,735
78,16200,888070,178,735
81,11300,796713,178,735
93,16200,794582,554,735
95,17300,758906,554,735
107,17000,370344,178,372
109,17500,470632,554,735
118,15500,796713,178,372
119,16800,370344,554,735
126,16000,758906,554,735
127,13100,795061,178,372
131,18750,839749,178,372
148,20000,370344,554,735
151,8300,355959,178,735
159,14300,795061,178,735
164,11600,437390,178,735
177,36998,892945,550,372
178,13998,701025,550,735
179,15995,735828,178,735
188,16498,801404,178,735
189,11998,796713,178,735
197,30985,783909,554,735
199,44985,107042,550,372
200,28985,795928,550,372
202,26985,795928,550,372
207,28985,529773,554,372
213,17985,904615,550,372
226,12485,777902,550,372
229,34985,533676,554,735
233,34985,795928,554,735
244,31985,529773,554,372
251,17998,795061,178,735
254,11495,782406,178,372
272,20485,904615,178,372
275,15998,790461,550,735
280,31998,184668,550,372
292,30985,439777,554,372
302,20985,786840,178,372
303,22285,175267,554,735
306,15800,470632,178,372
315,15995,777902,178,372
319,34985,184668,554,735
321,29985,795928,554,372
330,13495,777902,178,372
333,22990,652162,550,735
335,24985,839749,554,735
338,20485,576133,178,735
350,32985,715324,554,735
357,14495,782406,178,372
365,20495,795928,550,372
371,19995,796713,550,372
375,11995,340623,178,372
376,37331,880015,550,372
384,30995,839749,550,372
400,21995,458408,178,372
404,18990,801404,550,735
407,23995,904615,550,372
409,36312,880015,550,735
413,33490,783909,550,735
414,19995,418966,178,735
415,17995,794582,178,372
425,11998,701025,178,735
434,19990,839749,550,735
440,46990,439130,550,735
444,18995,470632,550,372
447,16498,267024,550,735
452,22890,458408,550,735
455,15995,214962,178,372
462,39995,384480,550,372
471,26990,175267,550,372
472,27995,391663,550,735
474,19995,729811,178,372
478,18495,839749,178,372
480,18995,729811,178,735
481,30709,529773,550,372
485,13995,777902,178,372
503,12995,777902,178,372
504,27990,529773,550,735
510,23995,786840,550,372
513,26490,795928,550,735
514,34259,529773,178,372
517,21995,652162,550,735
518,16995,267024,178,735
529,14495,144686,178,372
535,30197,529773,550,372
536,27022,529773,550,372
537,37560,795928,550,735
539,12495,144686,178,372
543,19495,758906,550,735
548,13995,144686,178,372
556,25995,439777,178,372
557,10995,782406,178,735
564,28995,632243,550,735
565,15995,144686,178,372
571,13998,795061,178,735
573,13995,782406,178,372
575,22995,888070,550,735
583,14500,801404,550,735
588,21995,370344,550,735
591,12995,782406,178,372
592,12995,782406,178,372
598,14998,796713,178,372
605,24500,832619,550,735
607,16000,418966,178,735
616,13995,144686,178,372
621,19995,175267,178,372
627,16498,370344,178,372
629,21995,632243,550,735
637,22945,328266,550,735
646,38495,184668,550,735
