Villain,First,Last,DoctorNumbers,DoctorActors,Episodes,LogStories,Stories,Duration,Motivation_Long,Motivation_Short,Motivation_Med,Titles
Sea Devils,1972,1984,"3,5","Jon Pertwee, Peter Davison",10,0.477121255,2,13,Capture the Doctor,Defeat the Doctor,Defeat the Doctor,"The Sea Devils, Warriors of the Deep"
L1 robot,1986,1986,6,Colin Baker ,4,0.301029996,1,1,Capture the Doctor,Defeat the Doctor,Defeat the Doctor,The Mysterious Planet
"Autons (Marcellas, Commander and Claudio)",1970,2010,"3,9,11","Jon Pertwee, Christopher Eccleston, Matt Smith",11,0.698970004,4,41,Defeat the Doctor,Defeat the Doctor,Defeat the Doctor,"Terror of the Autons, Spearhead from Space, Rose, The Pandorica Opens/The Big Bang, Love & Monsters"
Dream Lord,2010,2010,11,Matt Smith,1,0.301029996,1,1,Defeat the Doctor,Defeat the Doctor,Defeat the Doctor,Amy's Choice
Destroyer,1989,1989,7,Sylvester McCoy,4,0.301029996,1,1,Defeat the Doctor,Defeat the Doctor,Defeat the Doctor,Battlefield
Marshmen,1980,1980,4,Tom Baker,4,0.301029996,1,1,Defeat the Doctor,Defeat the Doctor,Defeat the Doctor,Full Circle
Alliance,2010,2010,11,Matt Smith,1,0.301029996,1,1,Imprison the Doctor,Defeat the Doctor,Defeat the Doctor,The Pandorica Opens
Blowfish,2010,2010,11,Matt Smith,1,0.301029996,1,1,Imprison the Doctor,Defeat the Doctor,Defeat the Doctor,The Pandorica Opens (see Alliance above)
Uvodni,2010,2010,11,Matt Smith,1,0.301029996,1,1,Imprison the Doctor,Defeat the Doctor,Defeat the Doctor,The Pandorica Opens (see Alliance above)
Weevils,2010,2010,11,Matt Smith,1,0.301029996,1,1,Imprison the Doctor,Defeat the Doctor,Defeat the Doctor,The Pandorica Opens (see Alliance above)
Master of the Land of Fiction,1968,1968,2,Patrick Troughton,5,0.301029996,1,1,Trick the Doctor,Defeat the Doctor,Defeat the Doctor,The Mind Robber
San Francisco street gang,1996,1996,"7,8","Sylvester McCoy, Paul McGann",1,0.301029996,1,1,Turf war (shoots doctor),Defeat the Doctor,Defeat the Doctor,Doctor Who (TV movie)
Time Zombie,2013,2013,11,Matt Smith,1,0.301029996,1,1,Hunt past selves,Defeat the Doctor,Defeat the Doctor,Journey to the centre of the Tardis
Alaya,2010,2010,11,Matt Smith,2,0.301029996,1,1,Capture humans,Domination,Capture others,The Hungry Earth/Cold Blood
War Chief,1969,1969,2,Patrick Troughton,10,0.301029996,1,1,Kidnapp,Domination,Capture others,The War Games
War Lord,1969,1969,2,Patrick Troughton,10,0.301029996,1,1,Kidnapp,Domination,Capture others,The War Games
