flight_id,flight_date,airline,flight_number,origin_airport,destination_airport,delay_in_minutes,cancelled,cancel_reason
1,2015-04-04,AS,98,ANC,SEA,976,0,
2,2015-03-11,AA,2336,LAX,PBI,711,0,
3,2015-07-14,US,840,SFO,CLT,937,0,
4,2015-08-05,AA,258,LAX,MIA,609,0,
5,2015-11-29,AS,135,SEA,ANC,119,0,
6,2015-08-15,DL,806,SFO,MSP,773,1,Security
7,2015-10-26,NK,612,LAS,MSP,473,0,
8,2015-01-19,US,2013,LAX,CLT,510,0,
9,2015-04-27,AA,1112,SFO,DFW,37,0,
10,2015-02-14,DL,1173,LAS,ATL,735,0,
11,2015-10-25,DL,2336,DEN,ATL,910,1,Airline/Carrier
12,2015-02-10,AA,1674,LAS,MIA,230,0,
13,2015-04-11,DL,1434,LAX,MSP,33,1,Security
14,2015-04-29,DL,2324,SLC,ATL,881,0,
15,2015-07-08,DL,2440,SEA,MSP,237,0,
16,2015-04-01,AS,108,ANC,SEA,458,0,
17,2015-10-18,DL,1560,ANC,SEA,313,0,
18,2015-09-26,UA,1197,SFO,IAH,545,1,Airline/Carrier
19,2015-12-18,AS,122,ANC,PDX,211,1,Security
20,2015-03-04,DL,1670,PDX,MSP,163,0,
21,2015-02-02,NK,520,LAS,MCI,485,0,
22,2015-01-14,AA,371,SEA,MIA,771,1,Weather
23,2015-05-27,NK,214,LAS,DFW,11,0,
24,2015-10-25,AA,115,LAX,MIA,924,0,
25,2015-10-08,DL,1450,LAS,MSP,580,0,
26,2015-03-18,UA,1545,LAX,IAH,826,0,
27,2015-12-21,AS,130,FAI,SEA,696,1,Security
28,2015-06-15,NK,597,MSP,FLL,74,1,Security
29,2015-01-20,US,413,LAS,CLT,262,0,
30,2015-07-16,AA,2392,DEN,MIA,696,0,
31,2015-11-27,NK,168,PHX,ORD,765,0,
32,2015-04-30,AA,2211,PHX,MIA,565,0,
33,2015-07-28,AS,136,ANC,SEA,972,0,
34,2015-01-25,DL,95,SLC,ATL,772,1,Weather
35,2015-04-10,NK,298,LAS,IAH,736,0,
36,2015-09-21,HA,17,LAS,HNL,570,0,
37,2015-04-03,US,617,ANC,PHX,820,1,Security
38,2015-11-17,UA,1528,SJU,EWR,582,0,
39,2015-01-19,AS,134,ANC,SEA,697,0,
40,2015-07-26,B6,304,SJU,JFK,752,0,
41,2015-01-20,NK,451,PBG,FLL,867,0,
42,2015-08-12,NK,972,PHX,DFW,691,0,
43,2015-08-08,AA,2459,PHX,DFW,83,0,
44,2015-05-05,AS,144,ANC,PDX,359,0,
45,2015-01-18,NK,647,IAG,FLL,271,0,
46,2015-01-12,B6,1990,SJU,EWR,182,0,
47,2015-11-07,US,699,PHX,CLT,875,0,
48,2015-12-22,AS,114,ANC,SEA,567,0,
49,2015-07-13,B6,668,PSE,MCO,759,0,
50,2015-10-22,UA,1162,BQN,EWR,240,1,Security
51,2015-09-13,B6,1030,BQN,MCO,249,0,
52,2015-12-06,B6,262,SJU,BOS,483,0,
53,2015-10-25,B6,2134,SJU,MCO,203,0,
54,2015-09-11,B6,730,BQN,MCO,942,1,Airline/Carrier
