gender,country,facebook_game,age,browser,total_playing_hours,total_money_spent
Male,United States,Zynga Poker,19,Opera,74,8691.72
Female,France,Township,18,Chrome,2,2273.15
Female,France,Township,25,Internet Explorer,28,9296.82
Male,France,Zynga Poker,25,Internet Explorer,22,3598.51
Female,United States,Township,24,Internet Explorer,98,6069.9
Female,France,Zynga Poker,19,Internet Explorer,89,6600.03
Male,United States,Zynga Poker,28,Internet Explorer,84,5393.56
Male,France,Township,29,Internet Explorer,14,2443.17
Female,United States,Zynga Poker,25,Internet Explorer,9,7319.05
Female,United States,Township,28,Safari,51,5190.68
Male,France,Zynga Poker,28,Safari,56,8599.3
Female,France,Candy Crush Saga,19,Safari,63,6702.56
Male,France,Candy Crush Saga,24,Opera,96,4609.17
Male,United States,Township,25,Chrome,40,991.47
Female,France,Zynga Poker,26,Safari,82,2606.74
Female,France,Zynga Poker,21,Opera,27,1583.49
Female,Canada,Township,29,Opera,36,6852.64
Female,United States,Candy Crush Saga,19,Chrome,63,163.19
Male,Canada,Zynga Poker,28,Chrome,44,9757.74
Male,France,Township,27,Chrome,68,2393.53
Male,United States,Zynga Poker,24,Chrome,78,9250.76
Female,Canada,Zynga Poker,21,Chrome,23,5929.03
Female,Canada,Candy Crush Saga,24,Safari,76,2053.75
Female,United States,Zynga Poker,28,Opera,29,9286.81
Male,Canada,Zynga Poker,21,Internet Explorer,69,3074.05
Female,France,Township,20,Internet Explorer,61,4172.26
Female,Canada,Candy Crush Saga,22,Opera,66,4237.28
Female,France,Township,18,Chrome,22,1871.07
Male,France,Township,25,Chrome,16,669.89
Male,United States,Zynga Poker,21,Internet Explorer,11,5274.73
Male,France,Township,21,Internet Explorer,45,811.92
Male,France,Candy Crush Saga,22,Internet Explorer,70,9172.14
Female,France,Zynga Poker,25,Chrome,97,6177.72
Female,United States,Township,19,Chrome,49,4617.19
Female,France,Zynga Poker,25,Internet Explorer,55,2881.78
Female,France,Zynga Poker,23,Chrome,23,1372.3
Male,United States,Township,28,Safari,36,7590.98
Male,United States,Zynga Poker,28,Opera,52,7788.44
Female,France,Township,25,Opera,69,6692.93
Male,United States,Township,18,Opera,84,6683.54
Female,United States,Zynga Poker,30,Chrome,14,904.5
Male,France,Zynga Poker,19,Internet Explorer,17,106.78
Female,Canada,Candy Crush Saga,27,Opera,79,2619.11
Female,United States,Zynga Poker,25,Safari,68,7273.54
Female,Canada,Zynga Poker,28,Chrome,72,2447.65
Female,United States,Zynga Poker,28,Chrome,87,9921.01
Female,Canada,Zynga Poker,25,Safari,33,8480.23
Female,Canada,Candy Crush Saga,18,Safari,33,4644.7
Male,Canada,Zynga Poker,25,Internet Explorer,66,1425.16
Female,United States,Candy Crush Saga,21,Opera,55,3606.41
Female,France,Township,20,Internet Explorer,47,5402.81
Female,France,Zynga Poker,24,Internet Explorer,64,4882.5
Male,Israel,Candy Crush Saga,26,Internet Explorer,47,3367.09
Male,Israel,Candy Crush Saga,27,Opera,44,6345.1
Male,France,Candy Crush Saga,30,Safari,28,344.23
Female,Canada,Zynga Poker,30,Opera,98,3554.27
Female,Canada,Candy Crush Saga,23,Safari,50,5543.27
Male,France,Zynga Poker,26,Chrome,100,5459.45
Female,Canada,Township,23,Chrome,74,7941.32
Male,United States,Township,19,Chrome,95,7608.87
Female,Canada,Township,24,Internet Explorer,74,635.73
Male,Canada,Township,25,Chrome,39,8699.34
Male,Canada,Zynga Poker,21,Chrome,99,5998.6
Female,Canada,Zynga Poker,25,Opera,33,1571.59
Female,France,Township,27,Internet Explorer,43,8360.14
Female,United States,Township,22,Chrome,97,3664.04
Female,Canada,Township,27,Opera,84,7910.88
Male,United States,Zynga Poker,22,Safari,40,619.0
Female,France,Township,29,Opera,94,7036.95
Female,France,Candy Crush Saga,26,Safari,77,4599.88
Male,France,Candy Crush Saga,28,Safari,88,1746.64
Female,United States,Candy Crush Saga,29,Chrome,68,8455.39
Female,United States,Zynga Poker,28,Chrome,4,9854.53
Female,France,Zynga Poker,24,Internet Explorer,31,3870.46
Female,United States,Township,29,Chrome,45,9038.26
Female,United States,Candy Crush Saga,19,Safari,8,9500.89
Male,France,Township,28,Opera,34,9121.05
Male,United States,Township,22,Safari,53,1285.45
Female,France,Township,23,Safari,48,1430.37
Female,France,Candy Crush Saga,19,Chrome,85,2703.07
Female,Canada,Candy Crush Saga,18,Safari,64,8110.88
Male,United States,Candy Crush Saga,19,Internet Explorer,70,4398.37
Male,France,Township,19,Opera,31,5167.21
Male,Canada,Zynga Poker,29,Safari,34,5560.97
Female,Canada,Township,19,Opera,37,4026.13
Male,France,Zynga Poker,27,Chrome,57,3672.79
Male,United States,Township,19,Opera,56,8558.94
Female,France,Zynga Poker,23,Safari,72,671.27
Male,United States,Township,23,Chrome,12,8518.18
Male,United States,Candy Crush Saga,19,Safari,87,5422.96
Female,France,Candy Crush Saga,25,Internet Explorer,89,5564.76
Female,France,Zynga Poker,19,Internet Explorer,97,3960.07
Female,France,Zynga Poker,18,Chrome,38,7481.36
Female,United States,Township,18,Safari,14,9901.11
Female,Canada,Zynga Poker,20,Chrome,100,8516.41
Female,France,Candy Crush Saga,24,Internet Explorer,67,2964.14
Male,Israel,Township,20,Safari,65,6699.03
Male,France,Candy Crush Saga,18,Chrome,62,1780.29
Female,United States,Zynga Poker,27,Internet Explorer,94,8678.01
Male,Canada,Township,28,Chrome,23,6203.07
Male,Canada,Candy Crush Saga,26,Chrome,68,7964.7
Female,France,Zynga Poker,21,Internet Explorer,66,393.45
Female,United States,Zynga Poker,18,Chrome,51,5608.17
Female,United States,Zynga Poker,28,Safari,34,7430.21
Male,France,Township,21,Chrome,85,6836.28
Male,United States,Township,19,Internet Explorer,10,2734.78
Female,France,Township,22,Internet Explorer,13,9498.61
Male,United States,Candy Crush Saga,29,Opera,11,3861.43
Male,Israel,Zynga Poker,26,Internet Explorer,2,5539.93
Male,United States,Zynga Poker,23,Internet Explorer,51,4679.32
Male,Canada,Zynga Poker,22,Opera,7,1230.54
Male,France,Candy Crush Saga,30,Safari,93,8867.17
Female,France,Township,27,Opera,93,7954.57
Male,Canada,Zynga Poker,26,Opera,15,3922.07
Female,United States,Candy Crush Saga,25,Internet Explorer,44,7490.47
Female,United States,Zynga Poker,24,Internet Explorer,20,5329.59
Male,United States,Candy Crush Saga,26,Chrome,5,1300.36
Female,France,Candy Crush Saga,29,Internet Explorer,23,3377.94
Male,France,Zynga Poker,23,Internet Explorer,32,7242.84
Female,United States,Candy Crush Saga,21,Safari,43,9344.22
Male,Canada,Zynga Poker,26,Opera,21,1875.81
Female,France,Zynga Poker,18,Safari,96,3180.97
Male,Canada,Candy Crush Saga,25,Opera,41,9347.93
Male,France,Candy Crush Saga,20,Internet Explorer,7,575.57
Male,France,Candy Crush Saga,20,Chrome,9,3652.67
Male,United States,Zynga Poker,26,Internet Explorer,55,4826.76
Female,Canada,Township,20,Chrome,94,628.21
Male,France,Township,24,Safari,6,8121.12
Female,United States,Township,18,Chrome,70,5781.41
Male,France,Candy Crush Saga,22,Safari,30,3704.37
Male,Canada,Township,18,Internet Explorer,80,3524.32
Male,United States,Candy Crush Saga,28,Opera,52,7624.77
Male,France,Candy Crush Saga,21,Opera,74,4227.11
Male,France,Township,24,Opera,69,8788.52
Female,Israel,Township,18,Internet Explorer,67,5862.02
Female,France,Township,28,Chrome,64,1754.99
Male,United States,Zynga Poker,18,Opera,89,5895.7
Female,Canada,Township,28,Chrome,69,6490.07
Male,France,Township,20,Safari,46,9437.16
Male,France,Township,20,Chrome,27,9593.42
Male,France,Zynga Poker,25,Internet Explorer,78,5779.0
Female,France,Candy Crush Saga,27,Chrome,20,8621.09
Female,Israel,Zynga Poker,20,Safari,100,8199.2
Female,France,Township,25,Chrome,95,145.74
Male,France,Township,22,Chrome,73,4236.81
Male,United States,Candy Crush Saga,20,Opera,83,3990.65
Male,France,Candy Crush Saga,21,Safari,80,3371.95
Female,France,Township,26,Opera,52,7246.38
Female,United States,Candy Crush Saga,29,Safari,85,3117.06
Male,France,Zynga Poker,21,Chrome,22,5467.94
